property_id,date_found,platform,listing_url,title,area,district,postcode_or_neighborhood,rent,sqm,rooms,furnished,registration,sharing_allowed,available_from,lease_months,agency,opportunity_score,reasons,indefinite,temporary,upholstered,bare,url,student_only,sharing,required_income,eligible,price_per_m2,property_type,budget_limit,household_income,within_budget,validation_issues,validation_status,property_state,status,telegram_message_id
"schiedam_2,350_56_3",2026-08-26 08:17,,,"Flat for rent: Lombardsteeg, Schiedam for €2,350",schiedam,,,2350.0,56.0,3.0,True,True,,,,,47.0,,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/2ae882a8/lombardsteeg,False,False,8225.0,False,41.96428571428572,three_room,2000.0,7448.0,False,[],PASS,new,,
schiedam_682_9_1,2026-08-26 08:20,,,"Flat for rent: Copernicusplein 1 B, Schiedam for €682",schiedam,,,682.0,9.0,1.0,False,True,,,,,42.0,Registration available; Good commute; Income eligible,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/3c6bb3e3/copernicusplein,True,False,2387.0,True,75.77777777777777,room,900.0,3724.0,True,[],PASS,new,,
"schiedam_2,475_57_3",2026-08-26 08:20,,,"Flat for rent: Hoogstraat, Schiedam for €2,475",schiedam,,,2475.0,57.0,3.0,True,True,,,,,47.0,Registration available; Furnished; Good commute; Not student-only,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/3f54e254/hoogstraat,False,False,8662.5,False,43.42105263157895,three_room,2000.0,7448.0,False,[],PASS,new,,
"schiedam_1,850_70_3",2026-08-26 08:20,,,"Flat for rent: Schoolstraat, Schiedam for €1,850",schiedam,,,1850.0,70.0,3.0,True,True,,,,,92.0,Registration available; Furnished; Good commute; Not student-only; Sharing allowed,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/41104854/schoolstraat,False,True,6475.0,True,26.428571428571427,three_room,2000.0,7448.0,True,[],PASS,new,,
"schiedam_1,175_70_4",2026-08-26 08:20,,,"Flat for rent: Nieuwlandplein, Schiedam for €1,175",schiedam,,,1175.0,70.0,4.0,False,True,,,,,82.0,Registration available; Good commute; Sharing allowed; Good value,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/4daae346/nieuwlandplein,True,True,4112.5,True,16.785714285714285,four_room,3000.0,11172.0,True,[],PASS,new,,
"schiedam_2,088_133_4",2026-08-26 08:20,,,"Flat for rent: Lange Haven 38, Schiedam for €2,088",schiedam,,,2088.0,133.0,4.0,False,True,,,,,77.0,Registration available; Good commute; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/66374157/lange-haven,False,False,7308.0,True,15.699248120300751,four_room,3000.0,11172.0,True,[],PASS,new,,
"schiedam_2,600_132_4",2026-08-26 08:20,,,"Flat for rent: Boterstraat, Schiedam for €2,600",schiedam,,,2600.0,132.0,4.0,True,True,,,,,57.0,Registration available; Furnished; Good commute; Good value,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/6c55aadb/boterstraat,True,False,9100.0,True,19.69696969696969,four_room,3000.0,11172.0,True,[],PASS,new,,
"schiedam_1,574_80_4",2026-08-26 08:20,,,"Flat for rent: Boerhaavelaan, Schiedam for €1,574",schiedam,,,1574.0,80.0,4.0,False,True,,,,,87.0,Registration available; Good commute; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/7151bfac/boerhaavelaan,False,False,5509.0,True,19.675,four_room,3000.0,11172.0,True,[],PASS,new,,
"schiedam_2,300_97_3",2026-08-26 08:20,,,"Flat for rent: Lange Haven, Schiedam for €2,300",schiedam,,,2300.0,97.0,3.0,True,True,,,,,87.0,Registration available; Furnished; Good commute; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/871717ab/lange-haven,False,False,8050.0,False,23.711340206185568,three_room,2000.0,7448.0,False,[],PASS,new,,
schiedam_16200_82_4,2026-08-26 08:21,,,"Flat for rent: Albert Cuijpstraat, Schiedam for price on request",schiedam,,,1620.0,82.0,4.0,True,True,,,,,92.0,Registration available; Furnished; Good commute; Sharing allowed,,,False,,https://www.pararius.com/apartment-for-rent/schiedam/9912293f/albert-cuijpstraat,True,True,5670.0,True,19.75609756097561,four_room,3000.0,11172.0,True,[],PASS,new,,
